stadium_id,elevation
ATL00,304
CLE00,177
KAN00,243
MIN00,261
BOS99,78
NOR00,1
NYC00,2
PIT99,223
WAS00,60
DAL99,172
GNB00,193
MIA00,3
OAK00,4
BUF00,232
STL00,142
IND99,219
BAL00,150
CIN00,153
PHI99,10
TAM00,11
NAS00,121
DEN99,1584
DET99,281
SDG00,16
SEA99,12
SFO00,8
PHO99,360
CAR00,224
JAX00,1
CHI98,180
DEN00,1584
PIT00,221
CHI99,233
HOU00,15
BOS00,78
SEA00,5
DET00,184
PHI00,6
SAN00,202
MEX00,2287
BRG00,8
PHO00,326
LON00,57
IND00,216
BUF01,82
DAL00,173
NYC01,2
MIN98,252
SFO01,5
LAX99,43
MIN01,260
LON01,28
LAX97,305
ATL97,308
LON02,20
LAX01,10
VEG00,670
GER00,492
